Iter,Time/Total,Time/Sample,TotalSteps,TotalEpisodes,AverageEpsLength,AverageReturn,AverageReturn/Speed,AverageReturn/Smooth,AverageReturn/Rule,AverageReturn/Fuel,StdRewards,MaxRewardRollout,MinRewardRollout
0,3.220646858215332,0,0,0,1000.0,484.2128832186463,-774.2319855193541,-5159.170422935938,-16.34600953642537,-566.0386987896304,3108.431752238379,3535.8491967286213,-5243.645580070366
2,29.082101106643677,22.45575499534607,15949,16,533.25,1117.6587342075595,-395.70499896905045,-261.7565826028047,-122.06065903542196,-335.5690251851619,2594.0774102655128,5667.867151660845,-894.5277873559112
4,57.78774619102478,48.092838764190674,31632,39,987.625,5114.345427258652,-500.7956974235092,-369.57534558196244,-91.69109317338547,-586.9674365624917,806.5216853947613,5652.253521733979,3074.897237242657
